Record,Tags,Comments,ID,Volume Serial Number,Full Volume Serial Number,File System,Sectors per cluster,Bytes per sector,Starting Sector,Ending Sector,Total Sectors,Total Clusters,Free Clusters,Total Capacity (Bytes),Unallocated Area (Bytes),Allocated Area (Bytes),Volume Name,Volume Offset (Bytes),Drive Type,Source,Location,Evidence number,Deleted source,Recovery method,Item ID
1,,,,,,ZIP,,,,,,,,,,,,,,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB) - May 19 2026 214908.zip,n/a,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB),,Parsing,1
2,,,,,,ZIP,,,,,,,,,,,,,,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB) - May 20 2026 191840.zip,n/a,PhysicalDrive1 Intel Raid 1 Volume (3.64 TB),,Parsing,50001
