sha256,kept_image_id,kept_source_dataset,kept_source_relative_path,discarded_source_dataset,discarded_source_relative_path,discarded_source_filename
2766c4cd66d58e86ae6b040a0aed2a10238d5c5db41ed6bda2a1d91c278434a5,img_00014400,05_deepweb,deepweb_dataset/AK-47_picture/5c0c4a8906953a9d99c2d1022b832f24.jpeg,05_deepweb,deepweb_dataset/gun_marketplace/5c0c4a8906953a9d99c2d1022b832f24.jpeg,5c0c4a8906953a9d99c2d1022b832f24.jpeg
fab82c7f058e893f194c8979b5e7213c9aaa10cd54a3c229782c1e461e489c4c,img_00014403,05_deepweb,deepweb_dataset/AK-47_picture/613b43d5003c387bd21ac7462f527fae.jpeg,05_deepweb,deepweb_dataset/gun_marketplace/613b43d5003c387bd21ac7462f527fae.jpeg,613b43d5003c387bd21ac7462f527fae.jpeg
2cca2917f05643b22f0f6cb44607d8b4fc6b21982959a7898e198a2c70df9d90,img_00014410,05_deepweb,deepweb_dataset/AK-47_picture/818f212779b5f1aaf49a9605441a14c6.png,05_deepweb,deepweb_dataset/gun_marketplace/818f212779b5f1aaf49a9605441a14c6.png,818f212779b5f1aaf49a9605441a14c6.png
1298972abda1a3e0624c24217882cfd10e994051b2313adb15bf9ea88270d932,img_00014417,05_deepweb,deepweb_dataset/AK-47_picture/9acefb113fbf62e460efa93b303d46d7.jpeg,05_deepweb,deepweb_dataset/gun_marketplace/9acefb113fbf62e460efa93b303d46d7.jpeg,9acefb113fbf62e460efa93b303d46d7.jpeg
5ec28869f486b5facd47e37844ec901fc132586a442c444bdab4735aaaba0434,img_00014421,05_deepweb,deepweb_dataset/AK-47_picture/a844a26f58b8b6f39347d7f7c135aac7.jpeg,05_deepweb,deepweb_dataset/gun_marketplace/a844a26f58b8b6f39347d7f7c135aac7.jpeg,a844a26f58b8b6f39347d7f7c135aac7.jpeg
61bed507431dd41e2f227403c5c806358cdb177379da7544439525ed81874caa,img_00014433,05_deepweb,deepweb_dataset/AK-47_picture/d124f9c5365f055f41b5c1cf92ae807a.jpeg,05_deepweb,deepweb_dataset/gun_marketplace/d124f9c5365f055f41b5c1cf92ae807a.jpeg,d124f9c5365f055f41b5c1cf92ae807a.jpeg
cf747df6b110b58a687eb1195263623b8f1d2cf17ccac96a290318c9b72b4b29,img_00014442,05_deepweb,deepweb_dataset/AK-47_picture/e76f143a9a90fc30b5bfba354aa9423c.jpeg,05_deepweb,deepweb_dataset/gun_marketplace/e76f143a9a90fc30b5bfba354aa9423c.jpeg,e76f143a9a90fc30b5bfba354aa9423c.jpeg
17003983d3620d79875ef087a6793d3ad99f5bf2cf0adc48843ca627d033a151,img_00014446,05_deepweb,deepweb_dataset/AK-47_picture/f0e07a524a0c76b2fefa91892f2fd71f.jpeg,05_deepweb,deepweb_dataset/gun_marketplace/f0e07a524a0c76b2fefa91892f2fd71f.jpeg,f0e07a524a0c76b2fefa91892f2fd71f.jpeg
daa81166be43139866bd98fb17519a79467fbfebb91489b66d5682d221b40d16,img_00014448,05_deepweb,deepweb_dataset/AK-47_picture/f930c06f1cae57c73e3169639d7f6f8a.jpeg,05_deepweb,deepweb_dataset/gun_marketplace/f930c06f1cae57c73e3169639d7f6f8a.jpeg,f930c06f1cae57c73e3169639d7f6f8a.jpeg
a0cdacd4884d549bb9aeed9c56c0a40954ac8f6db4a80fedc1b2346a0c042f09,img_00014460,05_deepweb,deepweb_dataset/gun_marketplace/088f3ad125de67a12969cc6f5bfc5e24.webp,05_deepweb,deepweb_dataset/smuggled_weapons/088f3ad125de67a12969cc6f5bfc5e24.webp,088f3ad125de67a12969cc6f5bfc5e24.webp
947110ea5e5350cdcf306790c3e39a696e735f27bc118d5a5cfa6134b185ad80,img_00014468,05_deepweb,deepweb_dataset/gun_marketplace/0c000b155c0d8da757eb9cbbb18942f3.jpeg,05_deepweb,deepweb_dataset/smuggled_weapons/0c000b155c0d8da757eb9cbbb18942f3.jpeg,0c000b155c0d8da757eb9cbbb18942f3.jpeg
4a669c541ec38dcb18be0b928273c3bceefa1643d365db22a0d7f894751558ad,img_00014475,05_deepweb,deepweb_dataset/gun_marketplace/1165ec4f54798021ffa1dc93cc02d163.jpeg,05_deepweb,deepweb_dataset/smuggled_weapons/1165ec4f54798021ffa1dc93cc02d163.jpeg,1165ec4f54798021ffa1dc93cc02d163.jpeg
fd116fd36e0145d827ce5eec39d5bf7553778dd995f7169afdaddf3e7aa21180,img_00014481,05_deepweb,deepweb_dataset/gun_marketplace/130d801d5e217a2dd78876a18a1dd818.jpeg,05_deepweb,deepweb_dataset/smuggled_weapons/130d801d5e217a2dd78876a18a1dd818.jpeg,130d801d5e217a2dd78876a18a1dd818.jpeg
14f801afadb38a659ca1c3ec2e7e4fa4847285548b2ce2564e850c5d911a7633,img_00014501,05_deepweb,deepweb_dataset/gun_marketplace/1eda47d05980f1a84bfa55bc52fda9a2.jpeg,05_deepweb,deepweb_dataset/smuggled_weapons/1eda47d05980f1a84bfa55bc52fda9a2.jpeg,1eda47d05980f1a84bfa55bc52fda9a2.jpeg
200278bbb3fc0e2d3f8c9632ad6455575e59cd5c02b269dd3fee59e84e259a0f,img_00014516,05_deepweb,deepweb_dataset/gun_marketplace/27adf9190b2da3175c64e2fc8b7f7841.jpeg,05_deepweb,deepweb_dataset/smuggled_weapons/27adf9190b2da3175c64e2fc8b7f7841.jpeg,27adf9190b2da3175c64e2fc8b7f7841.jpeg
28b12534e1e943045816b1980cb0084797d9a4f534f1850515b854fdb8ffd8fd,img_00014531,05_deepweb,deepweb_dataset/gun_marketplace/2ee47c818b95bcb48c51e28e4626edd3.jpeg,05_deepweb,deepweb_dataset/smuggled_weapons/2ee47c818b95bcb48c51e28e4626edd3.jpeg,2ee47c818b95bcb48c51e28e4626edd3.jpeg
4ed38f8629d56d2218a829f496deaee5c684a1324e6a89d25a4384e881501244,img_00014589,05_deepweb,deepweb_dataset/gun_marketplace/4ece9c089716fe6e4f9c48719527d76b.jpeg,05_deepweb,deepweb_dataset/smuggled_weapons/4ece9c089716fe6e4f9c48719527d76b.jpeg,4ece9c089716fe6e4f9c48719527d76b.jpeg
609fd845bed604489d20658b27ca22bf1893b765d5014f814e5b3b17873ff6e0,img_00014396,05_deepweb,deepweb_dataset/AK-47_picture/50055d3f92de5a01cc35cb95882a4a30.jpeg,05_deepweb,deepweb_dataset/smuggled_weapons/50055d3f92de5a01cc35cb95882a4a30.jpeg,50055d3f92de5a01cc35cb95882a4a30.jpeg
c395413f5257f2eaa7113479bd35044e66b61136f6a46c4b9d7dd37878595881,img_00014601,05_deepweb,deepweb_dataset/gun_marketplace/5445fdcb175286b389a1caa2fe92049f.jpeg,05_deepweb,deepweb_dataset/smuggled_weapons/5445fdcb175286b389a1caa2fe92049f.jpeg,5445fdcb175286b389a1caa2fe92049f.jpeg
01db91944c1ca26e1c299a654b4c6c6d6cdbc8722328f67be377b0856f205d7e,img_00014687,05_deepweb,deepweb_dataset/gun_marketplace/7fd456a9deca71df9a26881db64f43ef.jpeg,05_deepweb,deepweb_dataset/smuggled_weapons/7fd456a9deca71df9a26881db64f43ef.jpeg,7fd456a9deca71df9a26881db64f43ef.jpeg
