source_group,source_dataset,source_relative_path,source_filename,reason
kaggle,01_kaggle_weapon,weapon_detection/val/images/Automatic Rifle_28.png,Automatic Rifle_28.png,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/val/images/Automatic Rifle_81.jpeg,Automatic Rifle_81.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/val/images/Bazooka_18.jpeg,Bazooka_18.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/val/images/Bazooka_37.jpeg,Bazooka_37.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/val/images/Bazooka_44.jpeg,Bazooka_44.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/val/images/Bazooka_70.jpeg,Bazooka_70.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/val/images/Grenade Launcher_25.jpeg,Grenade Launcher_25.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/val/images/Grenade Launcher_26.jpeg,Grenade Launcher_26.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/val/images/Grenade Launcher_35.jpeg,Grenade Launcher_35.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/val/images/Handgun_14.jpeg,Handgun_14.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/val/images/SMG_56.png,SMG_56.png,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/val/images/Shotgun_15.jpeg,Shotgun_15.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/val/images/Shotgun_35.jpeg,Shotgun_35.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/val/images/Shotgun_53.jpeg,Shotgun_53.jpeg,below_min_size
kaggle,01_kaggle_weapon,weapon_detection/val/images/Shotgun_9.jpeg,Shotgun_9.jpeg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0173.jpg,1853+Enfield+rifle-musket_0173.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0174.jpg,1853+Enfield+rifle-musket_0174.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0178.jpg,1853+Enfield+rifle-musket_0178.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0180.jpg,1853+Enfield+rifle-musket_0180.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0186.jpg,1853+Enfield+rifle-musket_0186.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0226.jpg,1853+Enfield+rifle-musket_0226.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0228.jpg,1853+Enfield+rifle-musket_0228.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0232.jpg,1853+Enfield+rifle-musket_0232.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0236.jpg,1853+Enfield+rifle-musket_0236.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0244.jpg,1853+Enfield+rifle-musket_0244.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0246.jpg,1853+Enfield+rifle-musket_0246.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0249.jpg,1853+Enfield+rifle-musket_0249.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0350.jpg,1853+Enfield+rifle-musket_0350.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0351.jpg,1853+Enfield+rifle-musket_0351.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0354.jpg,1853+Enfield+rifle-musket_0354.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0355.jpg,1853+Enfield+rifle-musket_0355.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0358.jpg,1853+Enfield+rifle-musket_0358.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0360.jpg,1853+Enfield+rifle-musket_0360.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0361.jpg,1853+Enfield+rifle-musket_0361.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0362.jpg,1853+Enfield+rifle-musket_0362.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0367.jpg,1853+Enfield+rifle-musket_0367.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0368.jpg,1853+Enfield+rifle-musket_0368.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0369.jpg,1853+Enfield+rifle-musket_0369.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0371.jpg,1853+Enfield+rifle-musket_0371.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/1853+Enfield+rifle-musket/1853+Enfield+rifle-musket_0376.jpg,1853+Enfield+rifle-musket_0376.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AEK-919K+Kashtan+submachine+gun/AEK-919K+Kashtan+submachine+gun_0001.jpg,AEK-919K+Kashtan+submachine+gun_0001.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AEK-919K+Kashtan+submachine+gun/AEK-919K+Kashtan+submachine+gun_0042.jpg,AEK-919K+Kashtan+submachine+gun_0042.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AEK-919K+Kashtan+submachine+gun/AEK-919K+Kashtan+submachine+gun_0157.jpg,AEK-919K+Kashtan+submachine+gun_0157.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AEK-919K+Kashtan+submachine+gun/AEK-919K+Kashtan+submachine+gun_0187.jpg,AEK-919K+Kashtan+submachine+gun_0187.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AEK-919K+Kashtan+submachine+gun/AEK-919K+Kashtan+submachine+gun_0207.jpg,AEK-919K+Kashtan+submachine+gun_0207.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AEK-919K+Kashtan+submachine+gun/AEK-919K+Kashtan+submachine+gun_0317.jpg,AEK-919K+Kashtan+submachine+gun_0317.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AK+47/AK+47_0014.jpg,AK+47_0014.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AK+47/AK+47_0032.jpg,AK+47_0032.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AK+47/AK+47_0044.jpg,AK+47_0044.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AK+47/AK+47_0108.jpg,AK+47_0108.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AK+47/AK+47_0118.jpg,AK+47_0118.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AK+47/AK+47_0152.jpg,AK+47_0152.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AK+47/AK+47_0168.jpg,AK+47_0168.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AK+47/AK+47_0216.jpg,AK+47_0216.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AK+47/AK+47_0268.jpg,AK+47_0268.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AK+47/AK+47_0330.jpg,AK+47_0330.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AK-12+rifle/AK-12+rifle_0000.jpg,AK-12+rifle_0000.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AK-12+rifle/AK-12+rifle_0119.jpg,AK-12+rifle_0119.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AK-12+rifle/AK-12+rifle_0150.jpg,AK-12+rifle_0150.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AK-12+rifle/AK-12+rifle_0198.jpg,AK-12+rifle_0198.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AK-12+rifle/AK-12+rifle_0308.jpg,AK-12+rifle_0308.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AK-12+rifle/AK-12+rifle_0355.jpg,AK-12+rifle_0355.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AN-94+rifle/AN-94+rifle_0000.jpg,AN-94+rifle_0000.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AN-94+rifle/AN-94+rifle_0011.jpg,AN-94+rifle_0011.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AN-94+rifle/AN-94+rifle_0125.jpg,AN-94+rifle_0125.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AN-94+rifle/AN-94+rifle_0210.jpg,AN-94+rifle_0210.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AN-94+rifle/AN-94+rifle_0285.jpg,AN-94+rifle_0285.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AN-94+rifle/AN-94+rifle_0307.jpg,AN-94+rifle_0307.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AS+Val+rifle/AS+Val+rifle_0006.jpg,AS+Val+rifle_0006.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AS+Val+rifle/AS+Val+rifle_0014.jpg,AS+Val+rifle_0014.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AS+Val+rifle/AS+Val+rifle_0025.jpg,AS+Val+rifle_0025.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AS+Val+rifle/AS+Val+rifle_0151.jpg,AS+Val+rifle_0151.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AS+Val+rifle/AS+Val+rifle_0168.jpg,AS+Val+rifle_0168.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AS+Val+rifle/AS+Val+rifle_0199.jpg,AS+Val+rifle_0199.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AS+Val+rifle/AS+Val+rifle_0241.jpg,AS+Val+rifle_0241.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AS+Val+rifle/AS+Val+rifle_0325.jpg,AS+Val+rifle_0325.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AS+Val+rifle/AS+Val+rifle_0334.jpg,AS+Val+rifle_0334.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/AS+Val+rifle/AS+Val+rifle_0339.jpg,AS+Val+rifle_0339.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Astra+600/Astra+600_0010.jpg,Astra+600_0010.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Astra+600/Astra+600_0034.jpg,Astra+600_0034.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Astra+600/Astra+600_0074.jpg,Astra+600_0074.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Astra+600/Astra+600_0123.jpg,Astra+600_0123.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Astra+600/Astra+600_0270.jpg,Astra+600_0270.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Berdan+Sharps+Rifle/Berdan+Sharps+Rifle_0000.jpg,Berdan+Sharps+Rifle_0000.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Berdan+Sharps+Rifle/Berdan+Sharps+Rifle_0065.jpg,Berdan+Sharps+Rifle_0065.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Berdan+Sharps+Rifle/Berdan+Sharps+Rifle_0080.jpg,Berdan+Sharps+Rifle_0080.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Berdan+Sharps+Rifle/Berdan+Sharps+Rifle_0096.jpg,Berdan+Sharps+Rifle_0096.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Berdan+Sharps+Rifle/Berdan+Sharps+Rifle_0222.jpg,Berdan+Sharps+Rifle_0222.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Berdan+Sharps+Rifle/Berdan+Sharps+Rifle_0253.jpg,Berdan+Sharps+Rifle_0253.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Berdan+Sharps+Rifle/Berdan+Sharps+Rifle_0254.jpg,Berdan+Sharps+Rifle_0254.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Berdan+Sharps+Rifle/Berdan+Sharps+Rifle_0276.jpg,Berdan+Sharps+Rifle_0276.jpg,below_min_size
