tool_name,tool_version,tool_build,case_name,export_status,export_timestamp,summary_file,selected_run_dirs,ai_modules_enabled,os_environment,import_path,export_files_found,notes,created_at
magnet_axiom,,,,,,forensic_tools/magnet_axiom/raw_exports/FAIRLAB_AXIOM_RUN_02/ExportSummary.json,forensic_tools/magnet_axiom/raw_exports/FAIRLAB_AXIOM_RUN_02,,,datasets/forensic_evaluation_bundle/blind_tool_input/files/,5,Magnet AXIOM / Magnet.AI export. Predictions are derived from Pictures.csv Tags; Tags='Possible weapons' is mapped to weapon_detected=true; empty Tags is mapped to weapon_detected=false.,2026-06-05T17:29:26+00:00
excire_foto_2025_d20,,,,,,,forensic_tools/excire_foto_2025/raw_exports/EXCIRE_D20_FIREARM_PROMPTS,,,datasets/forensic_evaluation_bundle/blind_tool_input/files/,8,Excire Foto 2025 semantic retrieval export. Predictions are derived from fixed firearm-oriented prompt hit-list CSVs. An image retrieved by at least one prompt is mapped to weapon_detected=true; all remaining bundle images are completed as weapon_detected=false.,2026-06-05T17:29:28+00:00
excire_foto_2025_d50,,,,,,,forensic_tools/excire_foto_2025/raw_exports/EXCIRE_D50_FIREARM_PROMPTS,,,datasets/forensic_evaluation_bundle/blind_tool_input/files/,8,Excire Foto 2025 semantic retrieval export. Predictions are derived from fixed firearm-oriented prompt hit-list CSVs. An image retrieved by at least one prompt is mapped to weapon_detected=true; all remaining bundle images are completed as weapon_detected=false.,2026-06-05T17:29:31+00:00
excire_foto_2025_d80,,,,,,,forensic_tools/excire_foto_2025/raw_exports/EXCIRE_D80_FIREARM_PROMPTS,,,datasets/forensic_evaluation_bundle/blind_tool_input/files/,8,Excire Foto 2025 semantic retrieval export. Predictions are derived from fixed firearm-oriented prompt hit-list CSVs. An image retrieved by at least one prompt is mapped to weapon_detected=true; all remaining bundle images are completed as weapon_detected=false.,2026-06-05T17:29:34+00:00
cellebrite_inseyets,Cellebrite Inseyets 10.9,Physical Analyzer 10.9.0.3029 / UFED 10.9.0.284,CHIAVETTA USB,completed,2026-06-05 13:04:59,,forensic_tools/cellebrite_inseyets/raw_exports/FAIRLAB_CELLEBRITE_INSEYETS_RUN_01,media classifications / image classifications,,datasets/forensic_evaluation_bundle/blind_tool_input/files/,1,"Cellebrite Inseyets 10.9 / Physical Analyzer image-classification export. Predictions are derived from the Excel report sheet 'Immagini' and the observable 'Classifications' column. The extended mapping treats an image as weapon_detected=true when Classifications contains at least one among 'Armi', 'Pistola', or 'Fucile'. This is an operational recoding of exported tool output and does not imply access to Cellebrite internal AI model logic.",2026-06-05T17:29:56+00:00
