bundle_id,suffix,has_embedded_metadata,sensitive_hits,sensitive_hit_count,metadata_keys
bundle_000054,.jpeg,true,,0,exif:256;exif:257;exif:258;exif:262;exif:274;exif:277;exif:282;exif:283;exif:296;exif:305;exif:306;exif:34665;exif:59932;format;height;info:comment;info:dpi;info:exif;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;info:photoshop;mode;width
bundle_000055,.png,true,,0,format;height;info:dpi;mode;width
bundle_000056,.jpeg,true,,0,format;height;info:dpi;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000057,.png,false,,0,format;height;mode;width
bundle_000058,.jpeg,true,,0,format;height;info:comment;info:dpi;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000059,.jpeg,true,,0,format;height;info:comment;info:dpi;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000060,.png,true,,0,format;height;info:dpi;mode;width
bundle_000061,.jpeg,true,,0,format;height;info:comment;info:dpi;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000062,.png,true,,0,format;height;info:dpi;mode;width
bundle_000063,.jpeg,true,,0,format;height;info:comment;info:dpi;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000064,.jpeg,true,,0,format;height;info:dpi;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000065,.jpeg,true,,0,format;height;info:comment;info:dpi;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000066,.jpeg,true,,0,format;height;info:comment;info:dpi;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000067,.jpeg,true,,0,format;height;info:comment;info:dpi;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000068,.jpeg,true,,0,exif:34665;format;height;info:dpi;info:exif;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000069,.webp,true,,0,format;height;info:background;info:loop;mode;width
bundle_000070,.jpeg,true,,0,format;height;info:dpi;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000071,.png,true,,0,format;height;info:dpi;mode;width
bundle_000072,.jpeg,true,,0,format;height;info:dpi;info:exif;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;info:xmp;mode;width
bundle_000073,.jpeg,true,,0,format;height;info:comment;info:dpi;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000074,.jpeg,true,,0,format;height;info:comment;info:dpi;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000075,.jpeg,true,,0,format;height;info:icc_profile;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000076,.png,false,,0,format;height;mode;width
bundle_000077,.jpeg,true,,0,format;height;info:comment;info:dpi;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000078,.png,true,,0,format;height;info:dpi;mode;width
bundle_000079,.png,true,,0,format;height;info:dpi;mode;width
bundle_000080,.webp,true,,0,format;height;info:background;info:loop;mode;width
bundle_000081,.png,true,,0,format;height;info:dpi;mode;width
bundle_000082,.jpeg,true,,0,format;height;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000083,.png,true,,0,format;height;info:dpi;mode;width
bundle_000084,.jpeg,true,,0,format;height;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000085,.png,true,,0,format;height;info:dpi;mode;width
bundle_000086,.jpeg,true,,0,format;height;info:dpi;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000087,.jpeg,false,,0,format;height;mode;width
bundle_000088,.png,true,,0,format;height;info:dpi;mode;width
bundle_000089,.png,true,,0,format;height;info:dpi;mode;width
bundle_000090,.webp,true,,0,format;height;info:background;info:loop;mode;width
bundle_000091,.jpeg,true,,0,format;height;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000092,.jpeg,true,,0,format;height;info:comment;info:dpi;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000093,.jpeg,true,,0,exif:33432;format;height;info:adobe;info:adobe_transform;info:dpi;info:exif;info:photoshop;info:xmp;mode;width
bundle_000094,.jpeg,false,,0,format;height;mode;width
bundle_000095,.jpeg,true,,0,format;height;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000096,.jpeg,true,,0,format;height;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;info:progression;info:progressive;mode;width
bundle_000097,.png,true,,0,format;height;info:dpi;mode;width
bundle_000098,.png,true,,0,format;height;info:dpi;mode;width
bundle_000099,.jpeg,true,,0,format;height;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000100,.jpeg,true,,0,format;height;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000101,.jpg,true,,0,exif:256;exif:257;exif:258;exif:262;exif:271;exif:272;exif:274;exif:277;exif:282;exif:283;exif:296;exif:305;exif:306;exif:34665;exif:531;format;height;info:adobe;info:adobe_transform;info:dpi;info:exif;info:icc_profile;info:photoshop;info:xmp;mode;width
bundle_000102,.png,true,,0,format;height;info:Software;info:XML:com.adobe.xmp;info:xmp;mode;width
bundle_000103,.jpeg,true,,0,format;height;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;info:progression;info:progressive;mode;width
bundle_000104,.png,false,,0,format;height;mode;width
bundle_000105,.jpeg,true,,0,format;height;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;info:progression;info:progressive;mode;width
bundle_000106,.png,true,,0,format;height;info:srgb;mode;width
bundle_000107,.jpeg,true,,0,format;height;info:adobe;info:adobe_transform;info:icc_profile;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;mode;width
bundle_000108,.jpeg,true,,0,format;height;info:dpi;info:exif;info:jfif;info:jfif_density;info:jfif_unit;info:jfif_version;info:photoshop;info:progression;info:progressive;mode;width
