tool_name,scope,sample_type,attack_family,attack_name,rows_total,matched_rows,binary_rows,binary_interpretable_rows,unknown_rows,tp,fp,tn,fn,accuracy,balanced_accuracy,precision_weapon,recall_weapon,specificity_non_weapon,f1_weapon,false_negative_rate,false_positive_rate,ood_rows,ood_weapon_flags,ood_non_weapon_flags,ood_unknown,ood_weapon_flag_rate
excire_foto_2025_d20,all,all,all,all,11500,11500,11000,11000,0,4714,196,5304,786,0.910727,0.910727,0.960081,0.857091,0.964364,0.905668,0.142909,0.035636,500,119,381,0,0.238000
excire_foto_2025_d20,sample_type,clean,all,all,1000,1000,1000,1000,0,440,13,487,60,0.927000,0.927000,0.971302,0.880000,0.974000,0.923400,0.120000,0.026000,0,0,0,0,
excire_foto_2025_d20,sample_type,ood,all,all,500,500,0,0,0,0,0,0,0,,,,,,,,,500,119,381,0,0.238000
excire_foto_2025_d20,sample_type,perturbed,all,all,10000,10000,10000,10000,0,4274,183,4817,726,0.909100,0.909100,0.958941,0.854800,0.963400,0.903881,0.145200,0.036600,0,0,0,0,
excire_foto_2025_d20,attack_family,all,adversarial,all,5000,5000,5000,5000,0,2086,128,2372,414,0.891600,0.891600,0.942186,0.834400,0.948800,0.885023,0.165600,0.051200,0,0,0,0,
excire_foto_2025_d20,attack_family,all,anti_forensic,all,5000,5000,5000,5000,0,2188,55,2445,312,0.926600,0.926600,0.975479,0.875200,0.978000,0.922623,0.124800,0.022000,0,0,0,0,
excire_foto_2025_d20,attack_family,all,none,all,1500,1500,1000,1000,0,440,13,487,60,0.927000,0.927000,0.971302,0.880000,0.974000,0.923400,0.120000,0.026000,500,119,381,0,0.238000
excire_foto_2025_d20,attack_name,all,adversarial,color_shift,1000,1000,1000,1000,0,444,7,493,56,0.937000,0.937000,0.984479,0.888000,0.986000,0.933754,0.112000,0.014000,0,0,0,0,
excire_foto_2025_d20,attack_name,all,adversarial,fgsm,1000,1000,1000,1000,0,379,6,494,121,0.873000,0.873000,0.984416,0.758000,0.988000,0.856497,0.242000,0.012000,0,0,0,0,
excire_foto_2025_d20,attack_name,all,adversarial,one_pixel,1000,1000,1000,1000,0,440,14,486,60,0.926000,0.926000,0.969163,0.880000,0.972000,0.922432,0.120000,0.028000,0,0,0,0,
excire_foto_2025_d20,attack_name,all,adversarial,sigma_zero,1000,1000,1000,1000,0,410,95,405,90,0.815000,0.815000,0.811881,0.820000,0.810000,0.815920,0.180000,0.190000,0,0,0,0,
excire_foto_2025_d20,attack_name,all,adversarial,superdeepfool,1000,1000,1000,1000,0,413,6,494,87,0.907000,0.907000,0.985680,0.826000,0.988000,0.898803,0.174000,0.012000,0,0,0,0,
excire_foto_2025_d20,attack_name,all,anti_forensic,contrast_stretching,1000,1000,1000,1000,0,439,8,492,61,0.931000,0.931000,0.982103,0.878000,0.984000,0.927138,0.122000,0.016000,0,0,0,0,
excire_foto_2025_d20,attack_name,all,anti_forensic,gaussian_blur,1000,1000,1000,1000,0,442,14,486,58,0.928000,0.928000,0.969298,0.884000,0.972000,0.924686,0.116000,0.028000,0,0,0,0,
excire_foto_2025_d20,attack_name,all,anti_forensic,histogram_modification,1000,1000,1000,1000,0,434,14,486,66,0.920000,0.920000,0.968750,0.868000,0.972000,0.915612,0.132000,0.028000,0,0,0,0,
