evaluated_model,attack_family,attack_name,attack_target_model,total,clean_accuracy,perturbed_accuracy,robust_accuracy,accuracy_drop,clean_macro_f1,perturbed_macro_f1,f1_drop,attack_success_rate,misclassification_rate,induced_error_count,induced_error_rate_clean_correct,weapon_to_non_weapon_count,weapon_to_non_weapon_rate_clean_correct_weapon,non_weapon_to_weapon_count,non_weapon_to_weapon_rate_clean_correct_non_weapon,confidence_shift,confidence_delta_mean
resnet18,adversarial,color_shift,model_agnostic,1000,0.964,0.963,0.963,0.0010000000000000009,0.9639987039533423,0.9629990749768744,0.0009996289764678812,0.007261410788381743,0.03700000000000003,7,0.007261410788381743,6,0.012371134020618556,1,0.0020876826722338203,-0.001388943612575531,-0.001388943612575531
resnet18,adversarial,fgsm,efficientnet_b0,1000,0.964,0.918,0.918,0.04599999999999993,0.9639987039533423,0.918,0.04599870395334227,0.0487551867219917,0.08199999999999996,47,0.0487551867219917,27,0.05567010309278351,20,0.04175365344467641,-0.023019000589847564,-0.023019000589847564
resnet18,adversarial,one_pixel,efficientnet_b0,1000,0.964,0.963,0.963,0.0010000000000000009,0.9639987039533423,0.9629990749768744,0.0009996289764678812,0.001037344398340249,0.03700000000000003,1,0.001037344398340249,1,0.002061855670103093,0,0.0,-7.52331018447876e-05,-7.52331018447876e-05
resnet18,adversarial,sigma_zero,efficientnet_b0,1000,0.964,0.968,0.968,-0.0040000000000000036,0.9639987039533423,0.9679994879918079,-0.004000784038465599,0.0031120331950207467,0.03200000000000003,3,0.0031120331950207467,0,0.0,3,0.006263048016701462,0.00431917953491211,0.00431917953491211
resnet18,adversarial,superdeepfool,efficientnet_b0,1000,0.964,0.964,0.964,0.0,0.9639987039533423,0.9639987039533423,0.0,0.0,0.03600000000000003,0,0.0,0,0.0,0,0.0,-0.001260354697704315,-0.001260354697704315
resnet18,anti_forensic,contrast_stretching,unknown,1000,0.964,0.963,0.963,0.0010000000000000009,0.9639987039533423,0.9629937459430643,0.001004958010278001,0.006224066390041493,0.03700000000000003,6,0.006224066390041493,1,0.002061855670103093,5,0.010438413361169102,-0.0016433326005935668,-0.0016433326005935668
resnet18,anti_forensic,gaussian_blur,unknown,1000,0.964,0.959,0.959,0.0050000000000000044,0.9639987039533423,0.9589851936549093,0.005013510298432999,0.015560165975103735,0.041000000000000036,15,0.015560165975103735,15,0.030927835051546393,0,0.0,-0.0063961403965950014,-0.0063961403965950014
resnet18,anti_forensic,histogram_modification,unknown,1000,0.964,0.934,0.934,0.029999999999999916,0.9639987039533423,0.933997623914461,0.030001080038881356,0.04045643153526971,0.06599999999999995,39,0.04045643153526971,23,0.04742268041237113,16,0.033402922755741124,-0.015664892077445983,-0.015664892077445983
resnet18,anti_forensic,jpeg_recompression,unknown,1000,0.964,0.964,0.964,0.0,0.9639987039533423,0.9639976958525345,1.0081008078310916e-06,0.002074688796680498,0.03600000000000003,2,0.002074688796680498,0,0.0,2,0.0041753653444676405,-0.00042044413089752195,-0.00042044413089752195
resnet18,anti_forensic,resample_resize,unknown,1000,0.964,0.963,0.963,0.0010000000000000009,0.9639987039533423,0.9629999629999629,0.0009987409533793734,0.004149377593360996,0.03700000000000003,4,0.004149377593360996,4,0.008247422680412371,0,0.0,4.186868667602539e-06,4.186868667602539e-06
