system,system_type,clean_fnr,overall_fpr,ood_weapon_rate,adversarial_fnr,anti_forensic_fnr,adversarial_drop,anti_forensic_drop,adversarial_degradation,anti_forensic_degradation
EfficientNet-B0,Proxy,0.016,0.13745454545454547,0.3696,0.3408,0.0272,0.2832,0.005199999999999982,0.2832,0.005199999999999982
ResNet18,Proxy,0.03,0.04436363636363636,0.4376,0.0428,0.0444,0.008799999999999919,0.007399999999999962,0.008799999999999919,0.007399999999999962
CLIP,Proxy,0.012,0.12890909090909092,0.8356,0.0168,0.0156,-0.00039999999999995595,-0.0010000000000000009,0.0,0.0
Magnet AXIOM / Magnet.AI,Black-box,0.07,0.035,0.36,0.116,0.087,0.027,0.01,0.027,0.01
Excire Foto 2025 D50,Black-box,0.042,0.099,0.34,0.062,0.043,0.04,0.003,0.04,0.003
Cellebrite Inseyets,Black-box,0.032,0.042,0.292,0.05,0.037,0.009,0.004,0.009,0.004
Magnet Griffeye / T3K CORE,Black-box,0.036,0.007,0.26,0.055,0.046,0.009,0.004,0.009,0.004
