model,display_model,clean_samples,clean_accuracy,clean_fnr,clean_fpr,clean_tp,clean_tn,clean_fp,clean_fn,overall_binary_samples,overall_accuracy,overall_fnr,overall_fpr,overall_tp,overall_tn,overall_fp,overall_fn,adversarial_samples,adversarial_accuracy,adversarial_fnr,adversarial_fpr,adversarial_tp,adversarial_tn,adversarial_fp,adversarial_fn,anti_forensic_samples,anti_forensic_accuracy,anti_forensic_fnr,anti_forensic_fpr,anti_forensic_tp,anti_forensic_tn,anti_forensic_fp,anti_forensic_fn,ood_samples,ood_pred_weapon,ood_pred_non_weapon,ood_weapon_rate,adversarial_drop,anti_forensic_drop
efficientnet_b0,EfficientNet-B0,1000,0.978,0.016,0.028,492,486,14,8,11000,0.846909090909091,0.16872727272727273,0.13745454545454547,4572,4744,756,928,5000,0.6948,0.3408,0.2696,1648,1826,674,852,5000,0.9728,0.0272,0.0272,2432,2432,68,68,2500,924,1576,0.3696,0.2832,0.005199999999999982
resnet18,ResNet18,1000,0.964,0.03,0.042,485,479,21,15,11000,0.9566363636363636,0.04236363636363636,0.04436363636363636,5267,5256,244,233,5000,0.9552,0.0428,0.0468,2393,2383,117,107,5000,0.9566,0.0444,0.0424,2389,2394,106,111,2500,1094,1406,0.4376,0.008799999999999919,0.007399999999999962
clip,CLIP,1000,0.927,0.012,0.134,494,433,67,6,11000,0.9276363636363636,0.015818181818181818,0.12890909090909092,5413,4791,709,87,5000,0.9274,0.0168,0.1284,2458,2179,321,42,5000,0.928,0.0156,0.1284,2461,2179,321,39,2500,2089,411,0.8356,-0.00039999999999995595,-0.0010000000000000009
