evaluated_model,total,accuracy,balanced_accuracy,precision_weapon,recall_weapon,f1_weapon,precision_non_weapon,recall_non_weapon,f1_non_weapon,weapon_to_non_weapon,non_weapon_to_weapon,confidence_mean
clip,1000,0.927,0.927,0.8805704099821747,0.988,0.9311969839773798,0.9863325740318907,0.866,0.9222577209797658,6,67,0.5587085805535317
efficientnet_b0,1000,0.978,0.978,0.9723320158102767,0.984,0.978131212723658,0.9838056680161943,0.972,0.977867203219316,8,14,0.9786273544430732
resnet18,1000,0.964,0.964,0.958498023715415,0.97,0.9642147117296223,0.9696356275303644,0.958,0.9637826961770624,15,21,0.9744869204759598
