case_id,case_bucket,selection_rank,reviewer_id,evaluated_model,evaluation_fold,sample_type,attack_family,attack_name,source_sample_id,final_label,prediction,confidence,attribution_target,n_steps,legacy_convergence_delta,legacy_abs_convergence_delta,validation_status,input_asset,heatmap_asset,overlay_asset,top10_mask_asset,selection_rationale
xai_case_0001,clean_correct_weapon,1,reviewer_01,efficientnet_b0,fold_5,clean,none,clean,img_00012716,weapon,weapon,1.0,predicted_label,32,0.18177032470703125,0.18177032470703125,pending_adaptive_regeneration,docs/LatexThesis/images/fig_xai_case1_clean_correct_input.png,docs/LatexThesis/images/fig_xai_case1_clean_correct_heatmap.png,docs/LatexThesis/images/fig_xai_case1_clean_correct_overlay.png,docs/LatexThesis/images/fig_xai_case1_clean_correct_top10_mask.png,Clean correctly classified reference used to compare subsequent failures.
xai_case_0006,clean_false_negative_weapon,6,reviewer_01,efficientnet_b0,fold_2,clean,none,clean,img_00000003,weapon,non_weapon,0.6920745372772217,predicted_label,32,0.29688191413879395,0.29688191413879395,pending_adaptive_regeneration,docs/LatexThesis/images/fig_xai_case2_clean_false_negative_input.png,docs/LatexThesis/images/fig_xai_case2_clean_false_negative_heatmap.png,docs/LatexThesis/images/fig_xai_case2_clean_false_negative_overlay.png,docs/LatexThesis/images/fig_xai_case2_clean_false_negative_top10_mask.png,Clean false negative illustrating missed detection without manipulation.
xai_case_0009,ood_as_weapon,9,reviewer_01,efficientnet_b0,fold_2,ood,none,ood,img_00014615,ood,weapon,0.9990302324295044,predicted_label,32,-0.42431211471557617,0.42431211471557617,pending_adaptive_regeneration,docs/LatexThesis/images/fig_xai_case3_ood_as_weapon_input.png,docs/LatexThesis/images/fig_xai_case3_ood_as_weapon_heatmap.png,docs/LatexThesis/images/fig_xai_case3_ood_as_weapon_overlay.png,docs/LatexThesis/images/fig_xai_case3_ood_as_weapon_top10_mask.png,High-confidence OOD absorption into the weapon class.
xai_case_0010,anti_forensic_failure,10,reviewer_01,efficientnet_b0,fold_2,perturbed,anti_forensic,histogram_modification,img_00013599__histogram_modification,weapon,non_weapon,0.8515904545783997,predicted_label,32,1.249298334121704,1.249298334121704,pending_adaptive_regeneration,docs/LatexThesis/images/fig_xai_case4_antiforensic_failure_input.png,docs/LatexThesis/images/fig_xai_case4_antiforensic_failure_heatmap.png,docs/LatexThesis/images/fig_xai_case4_antiforensic_failure_overlay.png,docs/LatexThesis/images/fig_xai_case4_antiforensic_failure_top10_mask.png,Readable anti-forensic transformation producing a weapon false negative.
xai_case_0015,adversarial_high_conf_failure,15,reviewer_01,efficientnet_b0,fold_1,perturbed,adversarial,sigma_zero,img_00014592__sigma_zero__efficientnet_b0,non_weapon,weapon,1.0,predicted_label,32,-33.37627029418945,33.37627029418945,pending_adaptive_regeneration,docs/LatexThesis/images/fig_xai_case5_adversarial_high_conf_failure_input.png,docs/LatexThesis/images/fig_xai_case5_adversarial_high_conf_failure_heatmap.png,docs/LatexThesis/images/fig_xai_case5_adversarial_high_conf_failure_overlay.png,docs/LatexThesis/images/fig_xai_case5_adversarial_high_conf_failure_top10_mask.png,High-confidence Sigma-Zero false positive demonstrating that confidence is not reliability.
