tool_name,tool_display,clean_accuracy,clean_recall_weapon,clean_fnr,clean_fpr,ood_weapon_flag_rate,adversarial_accuracy,adversarial_recall_weapon,adversarial_fnr,adversarial_fpr,anti_forensic_accuracy,anti_forensic_recall_weapon,anti_forensic_fnr,anti_forensic_fpr
magnet_axiom,Magnet AXIOM,0.95,0.93,0.07,0.03,0.36,0.9232,0.8844,0.1156,0.038,0.9402,0.9128,0.0872,0.0324
xways_excire_d20,Excire D20,0.927,0.88,0.12,0.026,0.238,0.8916,0.8344,0.1656,0.0512,0.9266,0.8752,0.1248,0.022
xways_excire_d50,Excire D50,0.944,0.958,0.042,0.07,0.34,0.9038,0.938,0.062,0.1304,0.9414,0.9572,0.0428,0.0744
xways_excire_d80,Excire D80,0.915,0.986,0.014,0.156,0.522,0.8608,0.9772,0.0228,0.2556,0.9078,0.9844,0.0156,0.1688
