tool_name,tool_display,rows_total,matched_rows,binary_rows,binary_interpretable_rows,unknown_rows,accuracy,balanced_accuracy,precision_weapon,recall_weapon,specificity_non_weapon,f1_weapon,false_negative_rate,false_positive_rate,tp,fp,tn,fn,ood_rows,ood_weapon_flags,ood_non_weapon_flags,ood_unknown,ood_weapon_flag_rate,accuracy_rank_desc,recall_weapon_rank_desc,false_negative_rate_rank_asc,false_positive_rate_rank_asc,ood_weapon_flag_rate_rank_asc
magnet_axiom,Magnet AXIOM / Magnet.AI,11500,11500,11000,11000,0,0.933364,0.933364,0.962905,0.901455,0.965273,0.931167,0.098545,0.034727,4958,191,5309,542,500,180,320,0,0.36,3,5,5,2,5
excire_foto_2025_d20,Excire D20,11500,11500,11000,11000,0,0.910727,0.910727,0.960081,0.857091,0.964364,0.905668,0.142909,0.035636,4714,196,5304,786,500,119,381,0,0.238,5,6,6,3,1
excire_foto_2025_d50,Excire D50,11500,11500,11000,11000,0,0.924545,0.924545,0.905101,0.948545,0.900545,0.926314,0.051455,0.099455,5217,547,4953,283,500,170,330,0,0.34,4,4,4,5,4
excire_foto_2025_d80,Excire D80,11500,11500,11000,11000,0,0.887091,0.887091,0.825734,0.981273,0.792909,0.89681,0.018727,0.207091,5397,1139,4361,103,500,261,239,0,0.522,6,1,1,6,6
cellebrite_inseyets,Cellebrite Inseyets,11500,11500,11000,11000,0,0.958091,0.958091,0.958341,0.957818,0.958364,0.958079,0.042182,0.041636,5268,229,5271,232,500,146,354,0,0.292,2,2,2,4,3
griffeye,Magnet Griffeye / T3K CORE,11500,11500,11000,11000,0,0.971727,0.971727,0.992408,0.950727,0.992727,0.971121,0.049273,0.007273,5229,40,5460,271,500,130,370,0,0.26,1,3,3,1,2
